No,TOVAR NOMI,KG/LT/GR RAZMER,SONI,KELISH NARXI,SOTISH NARXI,FOIZI,SOTILGAN TOVAR SONI,SOTILGAN NARXI,JAMI SOTILGAN TOVAR SUMMASI,SOTILGANGA NISBATAN
1,MOY MIKING 10/40 SUPER POWER,4,4,"50,000 UZS","310,000 UZS",620%,0,"300,000 UZS",0 UZS,600%
2,MOY MIKING 10/40 GRAND POWER,4,7,"50,000 UZS","300,000 UZS",600%,0,"95,000 UZS",0 UZS,190%
3,MOY MIKING 5/30 GOLD SUPER,4,4,"50,000 UZS","310,000 UZS",620%,0,"13,131 UZS",0 UZS,26%
4,MOY MIKING 5/30 GOLDEN,4,1,"50,000 UZS","318,000 UZS",636%,0,"123,123 UZS",0 UZS,246%
5,MOY MIKING 5/40 SUPER RACING,4,1,"50,000 UZS","316,000 UZS",632%,0,"14,141 UZS",0 UZS,28%
6,MOY MOBIL 5/30,4,1,"50,000 UZS","452,000 UZS",904%,0,"250,040 UZS",0 UZS,500%
7,MOY DIVINOL 5/30,4,3,"50,000 UZS","365,000 UZS",730%,0,"223,231 UZS",0 UZS,446%
8,MOY DIVINOL 5/40,4,5,"50,000 UZS","365,000 UZS",730%,0,"1,311 UZS",0 UZS,3%
9,MOY DIVINOL 10/40,4,3,"50,000 UZS","300,000 UZS",600%,0,"1,311 UZS",0 UZS,3%
10,MOY ADINOL 10/40,4,1,"50,000 UZS","367,000 UZS",734%,0,"1,311 UZS",0 UZS,3%
11,MOY ELITE 5/40,4,2,"50,000 UZS","238,000 UZS",476%,0,"1,311 UZS",0 UZS,3%
12,MOY GAZPROM 15/40,5,1,"50,000 UZS","255,000 UZS",510%,0,"1,311 UZS",0 UZS,3%
13,MOY LOTOS 10/40,5,6,"50,000 UZS","295,000 UZS",590%,0,"1,311 UZS",0 UZS,3%
14,MOY LUKOYL 20/50 SUPER,4,12,"50,000 UZS","195,000 UZS",390%,0,"1,311 UZS",0 UZS,3%
15,MOY LUKOYL 15/40 SUPER,5,4,"50,000 UZS","215,000 UZS",430%,0,"1,311 UZS",0 UZS,3%
16,MOY LUKOYL 10/40 SUPER,5,6,"50,000 UZS","230,000 UZS",460%,0,"1,311 UZS",0 UZS,3%
17,MOY LUKOYL 10/40 LUXE,5,1,"50,000 UZS","270,000 UZS",540%,0,"1,311 UZS",0 UZS,3%
18,MOY LUKOYL 20/50 SUPER,5,2,"50,000 UZS","250,000 UZS",500%,0,"1,311 UZS",0 UZS,3%
19,MOY PROTEC 10/40,4,2,"50,000 UZS","340,000 UZS",680%,0,"1,311 UZS",0 UZS,3%
20,MOY GULF 10/40,4,4,"50,000 UZS","300,000 UZS",600%,0,"1,311 UZS",0 UZS,3%
21,MOY GULF 5/40,4,4,"50,000 UZS","400,000 UZS",800%,0,"1,311 UZS",0 UZS,3%
22,MOY GULF 5/30,4,4,"50,000 UZS","400,000 UZS",800%,0,"1,311 UZS",0 UZS,3%
23,MOY GULF ATF6,1,7,"50,000 UZS","160,000 UZS",320%,0,"1,311 UZS",0 UZS,3%
24,MOY GRAND OIL 80/90,1,20,"50,000 UZS","25,000 UZS",50%,0,"1,311 UZS",0 UZS,3%
25,MOY GRAND OIL ATF2,1,1,"50,000 UZS","25,000 UZS",50%,0,"1,311 UZS",0 UZS,3%
26,MOY WINIRON 80/90,1,7,"50,000 UZS","48,000 UZS",96%,0,"1,311 UZS",0 UZS,3%
27,MOY WINIRON 85/140,1,5,"50,000 UZS","50,000 UZS",100%,0,"1,311 UZS",0 UZS,3%
28,MOY MICKING 85/140,1,7,"50,000 UZS","110,000 UZS",220%,0,"1,311 UZS",0 UZS,3%
29,MOY MICKING 75/85,1,9,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
30,MOY ORIENT OIL TAG 17,1,52,"50,000 UZS","15,000 UZS",30%,0,"1,311 UZS",0 UZS,3%
31,MOY UNIVERSAL 20/50,900GR,14,"50,000 UZS","15,000 UZS",30%,0,"1,311 UZS",0 UZS,3%
32,ANTIFRIZ FORTE QIZIL,1,57,"50,000 UZS","10,000 UZS",20%,0,"1,311 UZS",0 UZS,3%
33,ANTIFRIZ FORTE KO'K,1,24,"50,000 UZS","10,000 UZS",20%,0,"1,311 UZS",0 UZS,3%
34,ANTIFRIZ CRYSTAL QIZIL,1,11,"50,000 UZS","15,000 UZS",30%,0,"1,311 UZS",0 UZS,3%
35,ANTIFRIZ CRYSTAL YASHIL,1,30,"50,000 UZS","15,000 UZS",30%,0,"1,311 UZS",0 UZS,3%
36,ANTIFRIZ CRYSTAL KO'K,1,12,"50,000 UZS","15,000 UZS",30%,0,"1,311 UZS",0 UZS,3%
37,ANTIFRIZ FORTE QIZIL,1,57,"50,000 UZS","25,000 UZS",50%,0,"1,311 UZS",0 UZS,3%
38,ANTIFRIZ FORTE KO'K,1,58,"50,000 UZS","25,000 UZS",50%,0,"1,311 UZS",0 UZS,3%
39,ANTIFRIZ VALESCO YASHIL,1,8,"50,000 UZS","30,000 UZS",60%,0,"1,311 UZS",0 UZS,3%
40,ANTIFRIZ SIBIRIA QIZIL,1,14,"50,000 UZS","35,000 UZS",70%,0,"1,311 UZS",0 UZS,3%
41,ANTIFRIZ SIBIRIA KO'K,1,4,"50,000 UZS","33,000 UZS",66%,0,"1,311 UZS",0 UZS,3%
42,ANTIFRIZ SIBIRIA YASHIL,1,32,"50,000 UZS","33,000 UZS",66%,0,"1,311 UZS",0 UZS,3%
43,ANTIFRIZ FELIX QIZIL,1,23,"50,000 UZS","35,000 UZS",70%,0,"1,311 UZS",0 UZS,3%
44,ANTIFRIZ FELIX KO'K,1,39,"50,000 UZS","33,000 UZS",66%,0,"1,311 UZS",0 UZS,3%
45,ANTIFRIZ FELIX YASHIL,1,63,"50,000 UZS","33,000 UZS",66%,0,"1,311 UZS",0 UZS,3%
46,ANTIFRIZ YUMIKO YASHIL,5,2,"50,000 UZS","75,000 UZS",150%,0,"1,311 UZS",0 UZS,3%
47,ANTIFRIZ YUMIKO QIZIL,5,1,"50,000 UZS","75,000 UZS",150%,0,"1,311 UZS",0 UZS,3%
48,ANTIFRIZ VALESCO YASHIL,5,2,"50,000 UZS","120,000 UZS",240%,0,"1,311 UZS",0 UZS,3%
49,ANTIFRIZ ARTCOOL QIZIL,5,2,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
50,ANTIFRIZ SIBIRIA YASHIL,5,6,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
